Num,S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1547,47,Varun Life Sciences Pvt. Ltd.,Cynoxil (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18,1.8
1548,48,Emcure Pharmaceuticals Ltd.,Qceph DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18,1.8
1549,49,Trident Pharmaceuticals Pvt Ltd,RDX Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18,1.8
1550,50,Hamax Pharmaceuticals,Cefadroxina-Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18,1.8
1551,51,Skymax Laboratories Pvt.Ltd.,Megadrox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18,1.8
1552,52,Om Biotec,Drosafe (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18,1.8
1553,53,Litaka Pharmaceuticals Ltd,Kefexyl DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18,1.8
1554,54,Bal Pharma Limited,Cefoxil-DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.17,1.82
1555,55,Nicholas Piramal India Ltd.,Modcef Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.3,1.83
1556,56,Reliance Formulation Pvt Ltd,Ridrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.33,1.83
1557,57,Jarson Pharmaceuticals,Droxyla Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.35,1.84
1558,58,Brussels Laboratories Pvt. Ltd.,Bidrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,200 Tablet,374,1.87
1559,59,Micro Nova Pharmaceuticals Ltd.,Bicef DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.78,1.88
1560,60,Natco Pharma Ltd,Cefdronat (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.8,1.88
1561,61,Profic Organic Ltd.,Monodrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.83,1.88
1562,62,Paradigm Healthcare,Cedar Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,100 Tablet,189,1.89
1563,63,Atoz Pharmaceuticals (Zota Healthcare Pvt Ltd),Atdrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.9,1.89
1564,64,Zota Healthcare Pvt. Ltd.,Vadrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.9,1.89
1565,65,Sayona (Zota Healthcare Pvt Ltd),Sayodrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.9,1.89
1566,66,Cosme Healthcare (CFL Pharmaceuticals Ltd),Cosdrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.95,1.9
1567,67,Alkem Laboratories Ltd,RT Cef (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,18.97,1.9
1568,68,Perk Pharmaceuticals Ltd.,Prodrox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1569,69,Ortin Laboratories Ltd,Ardrox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1570,70,Elegant Drugs Pvt. Ltd.,Efadrox KT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1571,71,Zota Pharmaceuticals (Zota Healthcare Pvt Ltd),Zidrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1572,72,Artel Laboratories,Efexil Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1573,73,Plethico Pharmaceuticals,Delcef (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1574,74,Kentreck Labs Pvt Ltd.,Cydroxil Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1575,75,Intas Pharmaceuticals Ltd.,CDR-D (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1576,76,Acme Skin Care Pvt Ltd,Defaxil (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1577,77,Ikon Remedies Pvt. Ltd.,Cefwin-DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1578,78,Deccan Healthcare Ltd.,Deccadroxil DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1579,79,Lanark Laboratories Pvt Ltd,Cefzil (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,20 Tablet,38,1.9
1580,80,K.C. Laboratories Pvt. Ltd.,Kcetrin (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1581,81,Mascot Lifesciences Pvt. Ltd.,Cotdrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19,1.9
1582,82,Patson Laboratories Pvt.Ltd.,Cefar-Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.03,1.9
1583,83,Aristo Pharmaceuticals Pvt Ltd.,Cefradrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.04,1.9
1584,84,Vision Medilink,Neoxil Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,200 Tablet,381,1.91
1585,85,Rextar (Ranbaxy Laboratories Ltd),Kefloxin DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.06,1.91
1586,86,Macleods Pharmaceuticals Pvt Ltd.,Acudrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.06,1.91
1587,87,Bergen (Alkem Laboratories Ltd),Cffoxid DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.06,1.91
1588,88,Medley Pharmaceuticals Ltd.,Zoxil (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.06,1.91
1589,89,Cipla Limited,Cefadur DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.06,1.91
1590,90,Ind-Chemie Health Specialities Pvt Ltd.,Kefzen (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.06,1.91
1591,91,Zydus Cadila Healthcare Ltd,Eliminate (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.06,1.91
1592,92,Torrent Pharmaceuticals Ltd.,Droxyl Kid DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.07,1.91
1593,93,Mapra Laboratories Pvt Ltd.,Mapradrox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.08,1.91
1594,94,Ortin Laboratories Ltd,Ardox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.2,1.92
1595,95,Rekvina Pharmaceuticals,Cedro (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.23,1.92
1596,96,Admac Pharma Ltd.,Adrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.25,1.93
1597,97,Beckcem Drugs International (P) Ltd,Kodrox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.26,1.93
1598,98,Finecure Pharmaceuticals Ltd,Saydrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.3,1.93
1599,99,Jaywin Remedies Pvt. Ltd.,Syndrox P (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,15 Tablet,29,1.93
1600,100,Intra Labs India Pvt Ltd,Caredrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,19.67,1.97
1601,101,Shantam Pharmaceuticals Pvt. Ltd.,Hidroxil Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,100 Tablet,197,1.97
1602,102,Sain Medicaments Pvt. Ltd.,Seadrox P (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20,2
1603,103,Alkem Laboratories Ltd,Cefoxid DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20,2
1604,104,Times Drugs & Pharmaceuticals (P) Ltd.,C Droxil DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20,2
1605,105,Tuttsan Pharma Pvt Ltd.,Cefaxer-Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20,2
1606,106,Metrix Healthcare Pvt Ltd.,Droxymet (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20,2
1607,107,Ochoa Laboratories (P) Ltd.,Occocef KT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20,2
1608,108,Milmet (Sun Pharmaceuticals Industries Ltd),Cefdox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20,2
1609,109,Kopran Pharma Ltd,Bid KT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20.02,2
1610,110,Spire Pharma,Axis (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20.8,2.08
1611,111,Zydus Cadila Healthcare Ltd,Droxycad (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,20.96,2.1
1612,112,Acron Pharmaceuticals,Zedoxil Kid DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,100 Tablet,210,2.1
1613,113,Tunic Healthcare,Droxytop Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,21,2.1
1614,114,DWD Pharmaceuticals Ltd.,Dax Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,21.18,2.12
1615,115,Orchid Chemicals & Pharmaceuticals Ltd.,Droxyceph DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,21.25,2.13
1616,116,Secure Healthcare Inc. India,Drosec DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,21.5,2.15
1617,117,Hiral Labs Ltd.,Hidrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,22,2.2
1618,118,Pifer Pharmaceuticals Pvt Ltd,Pyceff Kid DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,22,2.2
1619,119,Citadel Aurobindo Biotech Ltd. (CABL),Cedrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,22,2.2
1620,120,Norris Medicines Ltd.,Cefnor (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,22,2.2
1621,121,Allure Remedies Pvt Ltd,Dicef DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,22,2.2
1622,122,Affy Pharma Pvt. Ltd.,Affycef DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,22,2.2
1623,123,Medizone,Ceroxil (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,22,2.2
1624,124,Maan Pharmaceutical Ltd.,Manoxyl Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,22.34,2.23
1625,125,Versatil Pharmaceuticals (P) Ltd.,Ceroxil-Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,23,2.3
1626,126,Remed Healthcare (P) Ltd.,Droxytop (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,23,2.3
1627,127,Lancer Health Care Pvt. Ltd.,Faxil (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,23,2.3
1628,128,Vega Pharma,XIL Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,100 Tablet,236,2.36
1629,129,Prayas Pharmaceuticals,Bactidrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,100 Tablet,240,2.4
1630,130,Alicon Pharmaceuticals Pvt. Ltd.,Endroxil K (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,25,2.5
1631,131,Newgen (Cadila Pharmaceuticals Ltd.),Kidrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,25.04,2.5
1632,132,Hygeia Pharmaceuticals,Hidrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,26,2.6
1633,133,Parenteral Drugs (India) Ltd.,PD Roxil DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,26,2.6
1634,134,Yash Pharma Laboratories Limited,Ceftic-Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,26.56,2.66
1635,135,Maitri Healthcare Pvt. Ltd.,Maitridrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,200 Tablet,533,2.67
1636,136,Gracure Pharmaceuticals Ltd.,CFD-Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,26.95,2.7
1637,137,Alpic Remedies Ltd.,Xicef (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,28,2.8
1638,138,Pramukh Swami Pharma Ltd.,Pradrox Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,28,2.8
1639,139,Stanford Biotech Pvt. Ltd,CD Stan (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,28,2.8
1640,140,Mexon Healthcare Ltd.,Cexon (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,29,2.9
1641,141,Biocin Genetics & Pharma,Jyodox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,29,2.9
1642,142,Relax Pharmaceuticals,Reladrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,29.15,2.92
1643,143,Pharmatech Healthcare,Droxitech Kid (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,30,3
1644,144,East West Pharma,Cedrox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,34.5,3.45
1645,145,Symet Labs. Pvt. Ltd,Sydrox DT (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,35,3.5
1646,146,Medi Rose,Syndrox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,35,3.5
1647,147,Smilax Pharmaceuticals,De Bact (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,37.6,3.76
1648,148,Shrinivas (Gujarat) Laboratories Pvt. Ltd.,Endrox (125 mg),Tablet    ,1 Tablet,Cefadroxil-125 mg,10 Tablet,270,27
1649,149,Sumac Pharma Pvt. Ltd.,Maxyl (125 mg),Capsule    ,1 Capsule,Cefadroxil-125 mg,10 Capsule,17,1.7
1650,150,Aglowmed Ltd,Gigacef (125 mg),Capsule    ,1 Capsule,Cefadroxil-125 mg,10 Capsule,19.06,1.91
1651,151,Micro Nova Pharmaceuticals Ltd.,Bicef (60 ml),Suspension    ,5 ml,Cefadroxil-125 mg,60 ml,15.65,1.3
1652,152,Nestor Pharmaceuticals Ltd,Nesdrox DT (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,11,1.83
1653,153,Comed Chemicals Pvt Ltd,Codroxil (125 mg),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,11.7,1.95
1654,154,Lupin Laboratories Ltd.,Odoxil (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,13.88,2.31
1655,155,Taurus Laboratories Pvt. Ltd.,Cefataur (30 ml) (cefadroxil),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,14.64,2.44
1656,156,Ajanta Pharma Ltd.,Apdil Rediuse (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,14.8,2.47
1657,157,Dynamic Laboratories Pvt. Ltd.,Cefoxil (30 ml) (dynamic),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,15,2.5
1658,158,Rax Health Care Pvt. Ltd.,Raxdil (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,15.32,2.55
1659,159,Perk Pharmaceuticals Ltd.,Prodrox (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,15.75,2.63
1660,160,FDC Limited,Zadro Susp (125 mg),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,16.2,2.7
1661,161,Aristo Pharmaceuticals Pvt Ltd.,Cefadrox Rediuse (125 mg),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,17.1,2.85
1662,162,Orchid Chemicals & Pharmaceuticals Ltd.,Droxyceph (125 mg),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,18.2,3.03
1663,163,Cipla Limited,Cefadur Rediuse (125 mg),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,19.28,3.21
1664,164,Intas Pharmaceuticals Ltd.,CDR (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,20,3.33
1665,165,Rextar (Ranbaxy Laboratories Ltd),Kefloxin Redimix (125 mg),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,20.09,3.35
1666,166,Neon Laboratories Ltd,Cidaxil (125 mg),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,20.36,3.39
1667,167,Wallace Pharmaceuticals Ltd.,Waladrox (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,20.36,3.39
1668,168,Medley Pharmaceuticals Ltd.,Zoxil Susp (125 mg),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,21.88,3.65
1669,169,Lenit Pharmaceuticals,Inorox (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,22,3.67
1670,170,Libra Drugs (India),Libadro (60 ml),Suspension    ,5 ml,Cefadroxil-125 mg,60 ml,44.8,3.73
1671,171,Neiss Labs Pvt. Ltd.,Nisdrox (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,22.6,3.77
1672,172,Andic Lifescience Pvt. Ltd.,Cefadic DS (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,23,3.83
1673,173,Adore Healthcare,Fulfit (30 ml),Suspension    ,5 ml,Cefadroxil-125 mg,30 ml,25,4.17
1674,174,Hamax Pharmaceuticals,Drocef (30 ml),Syrup    ,1 ml,Cefadroxil-125 mg,30 ml,15.72,0.52
1675,175,Zydus Cadila Healthcare Ltd,Eliminate DS (30 ml) (125 mg),Syrup    ,1 ml,Cefadroxil-125 mg,30 ml,20.36,0.68
1676,176,East African (I) Remedies Pvt Ltd,Cefavir DS (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,9,1.5
1677,177,Ortin Laboratories Ltd,Ardrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,60 ml,21,1.75
1678,178,Radicura Pharmaceutical Pvt. Ltd.,Cedrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,11,1.83
1679,179,Gold Cross (Blue Cross Laboratories Ltd.),Bludrox P (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,11.2,1.87
1680,180,Bactolac Formulations Pvt. Ltd.,Cedil (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,11.26,1.88
1681,181,Macleods Pharmaceuticals Pvt Ltd.,Acudrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,11.26,1.88
1682,182,Deys Medical Stores (Mfg) Ltd,Brotzu (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,11.26,1.88
1683,183,Aglowmed Ltd,Gigacef (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,11.65,1.94
1684,184,Zest Pharma,Sudrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,11.7,1.95
1685,185,Osho Pharma Pvt.Ltd.,Osodroxil (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,12,2
1686,186,Mankind Pharmaceuticals Pvt. Ltd.,Cefastar (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,12,2
1687,187,Aristo Pharmaceuticals Pvt Ltd.,Cefadrox DS (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,13.99,2.33
1688,188,Finecure Pharmaceuticals Ltd,Saydrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,14.3,2.38
1689,189,Leben Laboratories Pvt. Ltd.,Cexil (30 ml) (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,14.9,2.48
1690,190,Sain Medicaments Pvt. Ltd.,Seadrox (40 ml),Syrup    ,5 ml,Cefadroxil-125 mg,40 ml,20,2.5
1691,191,Ind-Swift Limited,Swiceff DS (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.1,2.52
1692,192,Stallion Laboratories Pvt Ltd,Cedril DS (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.45,2.58
1693,193,DWD Pharmaceuticals Ltd.,Dax (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.54,2.59
1694,194,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Cedroxil Dry (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.56,2.59
1695,195,IRM Pharma (Cadila Pharmaceuticals Ltd.),Lactocef (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.59,2.6
1696,196,Torrent Labs (P) Ltd.,Droxyl Instause (30 ml) (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.59,2.6
1697,197,Alkem Laboratories Ltd,RT Cef (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.86,2.64
1698,198,Indoco Remedies Ltd,Vepan DS 125 (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.91,2.65
1699,199,Euphoric Pharmaceuticals Pvt.Ltd.,Eudrox Dry (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.93,2.66
1700,200,Hetero Healthcare Ltd.,Lydroxil (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.93,2.66
1701,201,Rextar (Ranbaxy Laboratories Ltd),Kefloxin DS (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,15.93,2.66
1702,202,Apco Pharma Ltd.,Bidoxil (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,16,2.67
1703,203,Eden Healthcare,Edoxil (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,16,2.67
1704,204,Nestor Pharmaceuticals Ltd,Nesdrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,16,2.67
1705,205,Mefro Pharmaceuticals Pvt Ltd,Acer (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,16,2.67
1706,206,Sain Medicaments Pvt. Ltd.,Seadrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,16,2.67
1707,207,Indoco Remedies Ltd,Vepan Rediuse 125 (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,16.22,2.7
1708,208,Newgen (Cadila Pharmaceuticals Ltd.),Kidrox DS (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,16.78,2.8
1709,209,Wens Pharma Pvt Ltd,Bdroxil (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,17,2.83
1710,210,Sayona (Zota Healthcare Pvt Ltd),Sayodrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,18,3
1711,211,Vostok & Wilcure Remedies,Wydrox Dry (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,18.5,3.08
1712,212,Alkem Laboratories Ltd,Cefoxid DS (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19,3.17
1713,213,Rhombus Pharma Private Limited,Kidoxyl DS (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19,3.17
1714,214,Ikon Remedies Pvt. Ltd.,Cefwin (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19,3.17
1715,215,Cadila Pharmaceuticals Ltd.,Vistadrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19,3.17
1716,216,Varun Life Sciences Pvt. Ltd.,Cynoxil (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19,3.17
1717,217,Lincoln Pharmaceuticals Ltd,Safedrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19,3.17
1718,218,Micro Labs Ltd,Bicef (30 ml) (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19.2,3.2
1719,219,Pharma Synth Formulations Ltd.,Cefodril (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19.25,3.21
1720,220,Gracure Pharmaceuticals Ltd.,CFD Dry (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19.36,3.23
1721,221,Protec (Cipla Ltd),Cefadur (125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19.39,3.23
1722,222,Ajanta Pharma Ltd.,Apdil D (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19.46,3.24
1723,223,Zetek Pharmaceuticals Pvt. Ltd.,Ceftek DS (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19.5,3.25
1724,224,Bal Pharma Limited,Cefoxil Syrup (30 ml 125 mg),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19.5,3.25
1725,225,Orison Pharmaceuticals,Oridro (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,19.85,3.31
1726,226,Norris Medicines Ltd.,Cefnor (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20,3.33
1727,227,Instant Remedies Private Limited,Okadrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20,3.33
1728,228,Wander Ltd,Cefacare (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20,3.33
1729,229,Mars Life Sciences Ltd.,L C Drox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20,3.33
1730,230,Prisma Healthcare,Predoxyl (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20,3.33
1731,231,Wander Ltd,Cefcare DS (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20,3.33
1732,232,Biocin Healthcare,B Dril (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20,3.33
1733,233,Lupin Laboratories Ltd.,Odoxil Premix (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20.4,3.4
1734,234,Active Healthcare,Actidrox (30 ml),Syrup    ,5 ml,Cefadroxil-125 mg,30 ml,20.5,3.42
